seconds,estimated_hz,voiced_probability,retained
0.000000000000000000e+00,nan,1.000419105279527245e-02,0.000000000000000000e+00
1.600000000000000033e-02,nan,1.000004700797730087e-02,0.000000000000000000e+00
3.200000000000000067e-02,nan,1.000004700797730087e-02,0.000000000000000000e+00
4.800000000000000100e-02,nan,1.000007810228032389e-02,0.000000000000000000e+00
6.400000000000000133e-02,nan,1.000000010142939634e-02,0.000000000000000000e+00
8.000000000000000167e-02,nan,1.000000000061385987e-02,0.000000000000000000e+00
9.600000000000000200e-02,nan,1.000000000007539996e-02,0.000000000000000000e+00
1.120000000000000023e-01,nan,1.000000004772602473e-02,0.000000000000000000e+00
1.280000000000000027e-01,nan,1.000000081401490604e-02,0.000000000000000000e+00
1.439999999999999891e-01,nan,1.000000287110036808e-02,0.000000000000000000e+00
1.600000000000000033e-01,nan,1.000000287110036808e-02,0.000000000000000000e+00
1.759999999999999898e-01,nan,1.000000081401490430e-02,0.000000000000000000e+00
1.920000000000000040e-01,nan,1.000007810228032389e-02,0.000000000000000000e+00
2.079999999999999905e-01,nan,1.000000521622944859e-02,0.000000000000000000e+00
2.240000000000000047e-01,1.024859987161937767e+02,1.000000020889274359e-02,0.000000000000000000e+00
2.399999999999999911e-01,1.018957227989531020e+02,1.000020633903134053e-02,0.000000000000000000e+00
2.560000000000000053e-01,9.899494936611665707e+01,1.002672467381077008e-02,0.000000000000000000e+00
2.720000000000000195e-01,9.899494936611665707e+01,1.007375176428288409e-02,0.000000000000000000e+00
2.879999999999999782e-01,1.030796940670367974e+02,1.000187304601255107e-02,0.000000000000000000e+00
3.039999999999999925e-01,1.042774224185891683e+02,1.000080278092725476e-02,0.000000000000000000e+00
3.200000000000000067e-01,9.842478041356446283e+01,1.000004700797730087e-02,0.000000000000000000e+00
3.360000000000000209e-01,9.842478041356446283e+01,1.000020633903134053e-02,0.000000000000000000e+00
3.519999999999999796e-01,9.842478041356446283e+01,1.000020633903134053e-02,0.000000000000000000e+00
3.679999999999999938e-01,9.842478041356446283e+01,1.000187304601255107e-02,0.000000000000000000e+00
3.840000000000000080e-01,9.785789539253136127e+01,1.000281582581110003e-02,0.000000000000000000e+00
4.000000000000000222e-01,9.785789539253136127e+01,1.003776550292968806e-02,0.000000000000000000e+00
4.159999999999999809e-01,9.785789539253136127e+01,1.240312479355134764e-02,0.000000000000000000e+00
4.319999999999999951e-01,9.842478041356446283e+01,1.646758759311300890e-02,0.000000000000000000e+00
4.480000000000000093e-01,9.842478041356446283e+01,3.010686179419501049e-02,0.000000000000000000e+00
4.640000000000000235e-01,9.842478041356446283e+01,4.069733156888105663e-02,0.000000000000000000e+00
4.799999999999999822e-01,9.899494936611665707e+01,1.085797707287449732e-01,0.000000000000000000e+00
4.959999999999999964e-01,9.899494936611665707e+01,9.203757081218101599e-02,0.000000000000000000e+00
5.120000000000000107e-01,nan,1.000032860450165983e-02,0.000000000000000000e+00
5.280000000000000249e-01,nan,1.005296754596585705e-02,0.000000000000000000e+00
5.440000000000000391e-01,nan,1.001306884623897470e-02,0.000000000000000000e+00
5.600000000000000533e-01,nan,1.000902549334298577e-02,0.000000000000000000e+00
5.759999999999999565e-01,nan,1.000617855533407832e-02,0.000000000000000000e+00
5.919999999999999707e-01,nan,1.000419105279527071e-02,0.000000000000000000e+00
6.079999999999999849e-01,nan,1.000281582581110003e-02,0.000000000000000000e+00
6.239999999999999991e-01,nan,1.001306884623897470e-02,0.000000000000000000e+00
6.400000000000000133e-01,nan,1.000001622642283580e-02,0.000000000000000000e+00
6.560000000000000275e-01,nan,1.000000004772602299e-02,0.000000000000000000e+00
