seconds,estimated_hz,voiced_probability,retained
0.000000000000000000e+00,nan,1.000000020889274359e-02,0.000000000000000000e+00
1.600000000000000033e-02,nan,1.000000004772602473e-02,0.000000000000000000e+00
3.200000000000000067e-02,nan,1.000000154655429629e-02,0.000000000000000000e+00
4.800000000000000100e-02,nan,1.000002785026228580e-02,0.000000000000000000e+00
6.400000000000000133e-02,nan,1.000002785026228580e-02,0.000000000000000000e+00
8.000000000000000167e-02,nan,1.000002785026228580e-02,0.000000000000000000e+00
9.600000000000000200e-02,1.151497774833068632e+02,1.000020633903134226e-02,0.000000000000000000e+00
1.120000000000000023e-01,1.144865635674993030e+02,1.000187304601254934e-02,0.000000000000000000e+00
1.280000000000000027e-01,1.144865635674993030e+02,1.003776550292968806e-02,0.000000000000000000e+00
1.439999999999999891e-01,1.144865635674993030e+02,1.062260904091153098e-02,0.000000000000000000e+00
1.600000000000000033e-01,1.144865635674993030e+02,3.489742801962526786e-02,0.000000000000000000e+00
1.759999999999999898e-01,1.144865635674993030e+02,1.085797707287449732e-01,0.000000000000000000e+00
1.920000000000000040e-01,1.144865635674993030e+02,2.796051653363589296e-01,0.000000000000000000e+00
2.079999999999999905e-01,1.144865635674993030e+02,1.279370863012903592e-01,0.000000000000000000e+00
2.240000000000000047e-01,1.144865635674993030e+02,9.203757081218100211e-02,0.000000000000000000e+00
2.399999999999999911e-01,1.151497774833068632e+02,1.818737573491218187e-02,0.000000000000000000e+00
2.560000000000000053e-01,1.151497774833068632e+02,1.007375176428288235e-02,0.000000000000000000e+00
2.720000000000000195e-01,1.151497774833068632e+02,1.000419105279526898e-02,0.000000000000000000e+00
2.879999999999999782e-01,1.164877534485538177e+02,1.010197459374499035e-02,0.000000000000000000e+00
3.039999999999999925e-01,1.171625601394079297e+02,1.142233425070907429e-02,0.000000000000000000e+00
3.200000000000000067e-01,1.171625601394079297e+02,1.646758759311300890e-02,0.000000000000000000e+00
3.360000000000000209e-01,1.171625601394079297e+02,4.069733156888105663e-02,0.000000000000000000e+00
3.519999999999999796e-01,1.178412759456543455e+02,1.279370863012903592e-01,0.000000000000000000e+00
3.679999999999999938e-01,1.178412759456543455e+02,3.233360583906407237e-01,0.000000000000000000e+00
3.840000000000000080e-01,1.178412759456543455e+02,5.485250542599844348e-01,0.000000000000000000e+00
4.000000000000000222e-01,1.185239235125681887e+02,6.860828109301793098e-01,0.000000000000000000e+00
4.159999999999999809e-01,1.185239235125681887e+02,7.571601330199093649e-01,1.000000000000000000e+00
4.319999999999999951e-01,1.192105256166072564e+02,8.911444948731201965e-01,1.000000000000000000e+00
