seconds,estimated_hz,voiced_probability,retained
0.000000000000000000e+00,8.667934522642083550e+01,1.000020633903134053e-02,0.000000000000000000e+00
1.600000000000000033e-02,8.718147356511761359e+01,1.000000002170159212e-02,0.000000000000000000e+00
3.200000000000000067e-02,8.667934522642083550e+01,1.000007810228032389e-02,0.000000000000000000e+00
4.800000000000000100e-02,8.667934522642083550e+01,1.000902549334298577e-02,0.000000000000000000e+00
6.400000000000000133e-02,8.718147356511761359e+01,1.000012784523254122e-02,0.000000000000000000e+00
8.000000000000000167e-02,7.545875281299986170e+01,1.000123296498612105e-02,0.000000000000000000e+00
9.600000000000000200e-02,7.502414237754051385e+01,1.007375176428288582e-02,0.000000000000000000e+00
1.120000000000000023e-01,7.545875281299986170e+01,1.185350539468341298e-02,0.000000000000000000e+00
1.280000000000000027e-01,7.416241660515066769e+01,1.646758759311300890e-02,0.000000000000000000e+00
1.439999999999999891e-01,7.000000000000000000e+01,1.185350539468341298e-02,0.000000000000000000e+00
1.600000000000000033e-01,7.000000000000000000e+01,1.398021038018592774e-02,0.000000000000000000e+00
1.759999999999999898e-01,7.000000000000000000e+01,5.607139544589262448e-02,0.000000000000000000e+00
1.920000000000000040e-01,7.000000000000000000e+01,1.279370863012903592e-01,0.000000000000000000e+00
2.079999999999999905e-01,7.000000000000000000e+01,1.765306086328975732e-01,0.000000000000000000e+00
2.240000000000000047e-01,7.000000000000000000e+01,2.407543944755742849e-01,0.000000000000000000e+00
2.399999999999999911e-01,7.000000000000000000e+01,2.407543944755742849e-01,0.000000000000000000e+00
2.560000000000000053e-01,7.000000000000000000e+01,2.407543944755742849e-01,0.000000000000000000e+00
2.720000000000000195e-01,7.000000000000000000e+01,2.796051653363588740e-01,0.000000000000000000e+00
2.879999999999999782e-01,7.000000000000000000e+01,1.279370863012903592e-01,0.000000000000000000e+00
3.039999999999999925e-01,7.000000000000000000e+01,5.607139544589262448e-02,0.000000000000000000e+00
3.200000000000000067e-01,7.000000000000000000e+01,2.031762855636058338e-02,0.000000000000000000e+00
3.360000000000000209e-01,7.000000000000000000e+01,1.062260904091153271e-02,0.000000000000000000e+00
3.519999999999999796e-01,7.459203511399388731e+01,1.025905055977886261e-02,0.000000000000000000e+00
3.679999999999999938e-01,7.545875281299986170e+01,1.010197459374499035e-02,0.000000000000000000e+00
3.840000000000000080e-01,8.667934522642083550e+01,1.508558729750433813e-02,0.000000000000000000e+00
4.000000000000000222e-01,8.667934522642083550e+01,9.203757081218101599e-02,0.000000000000000000e+00
4.159999999999999809e-01,8.667934522642083550e+01,2.065067991177522710e-01,0.000000000000000000e+00
4.319999999999999951e-01,8.667934522642083550e+01,1.765306086328975732e-01,0.000000000000000000e+00
4.480000000000000093e-01,8.718147356511761359e+01,7.797523762294819583e-02,0.000000000000000000e+00
4.640000000000000235e-01,8.768651070368895262e+01,1.818737573491218187e-02,0.000000000000000000e+00
4.799999999999999822e-01,8.819447349264112290e+01,2.294421912463860333e-02,0.000000000000000000e+00
4.959999999999999964e-01,8.819447349264112290e+01,4.069733156888106357e-02,0.000000000000000000e+00
5.120000000000000107e-01,8.819447349264112290e+01,4.069733156888106357e-02,0.000000000000000000e+00
5.280000000000000249e-01,8.819447349264112290e+01,6.608151270920702147e-02,0.000000000000000000e+00
5.440000000000000391e-01,8.819447349264112290e+01,5.607139544589261754e-02,0.000000000000000000e+00
5.600000000000000533e-01,8.819447349264112290e+01,1.085797707287449732e-01,0.000000000000000000e+00
5.759999999999999565e-01,8.819447349264112290e+01,1.765306086328975455e-01,0.000000000000000000e+00
5.919999999999999707e-01,8.819447349264112290e+01,2.796051653363588185e-01,0.000000000000000000e+00
6.079999999999999849e-01,8.819447349264112290e+01,4.260623290432817845e-01,0.000000000000000000e+00
6.239999999999999991e-01,8.768651070368895262e+01,5.485250542599845458e-01,0.000000000000000000e+00
6.400000000000000133e-01,8.819447349264112290e+01,6.159498854580680582e-01,0.000000000000000000e+00
6.560000000000000275e-01,8.768651070368895262e+01,7.571601330199093649e-01,0.000000000000000000e+00
6.720000000000000417e-01,8.768651070368895262e+01,8.266685594724996200e-01,1.000000000000000000e+00
6.879999999999999449e-01,8.768651070368895262e+01,8.266685594724996200e-01,1.000000000000000000e+00
7.039999999999999591e-01,8.768651070368895262e+01,8.911444948731203075e-01,1.000000000000000000e+00
7.199999999999999734e-01,8.768651070368895262e+01,8.911444948731203075e-01,1.000000000000000000e+00
7.359999999999999876e-01,8.768651070368895262e+01,8.911444948731203075e-01,1.000000000000000000e+00
7.520000000000000018e-01,8.768651070368895262e+01,8.911444948731203075e-01,1.000000000000000000e+00
7.680000000000000160e-01,8.819447349264112290e+01,9.459302094659092219e-01,1.000000000000000000e+00
7.840000000000000302e-01,8.819447349264112290e+01,9.459302094659092219e-01,1.000000000000000000e+00
8.000000000000000444e-01,8.819447349264112290e+01,9.459302094659093330e-01,1.000000000000000000e+00
8.159999999999999476e-01,8.819447349264112290e+01,9.459302094659092219e-01,1.000000000000000000e+00
8.319999999999999618e-01,8.819447349264112290e+01,9.848789761259922892e-01,1.000000000000000000e+00
8.479999999999999760e-01,8.819447349264112290e+01,9.459302094659092219e-01,1.000000000000000000e+00
8.639999999999999902e-01,8.819447349264112290e+01,9.459302094659092219e-01,1.000000000000000000e+00
8.800000000000000044e-01,8.819447349264112290e+01,9.459302094659092219e-01,0.000000000000000000e+00
8.960000000000000187e-01,8.819447349264112290e+01,8.911444948731201965e-01,0.000000000000000000e+00
9.120000000000000329e-01,8.819447349264112290e+01,4.849868077159112945e-01,0.000000000000000000e+00
9.280000000000000471e-01,8.819447349264112290e+01,1.279370863012903314e-01,0.000000000000000000e+00
9.439999999999999503e-01,8.768651070368895262e+01,1.082446372823416686e-02,0.000000000000000000e+00
9.599999999999999645e-01,8.618010893414414397e+01,1.046753361706990494e-02,0.000000000000000000e+00
9.759999999999999787e-01,8.469958624535048841e+01,1.019107549696831108e-02,0.000000000000000000e+00
9.919999999999999929e-01,8.421175252574816739e+01,1.082446372823416859e-02,0.000000000000000000e+00
1.008000000000000007e+00,9.236555375410259217e+01,1.508558729750433640e-02,0.000000000000000000e+00
1.024000000000000021e+00,9.236555375410259217e+01,2.616802860893575541e-02,0.000000000000000000e+00
1.040000000000000036e+00,9.236555375410259217e+01,4.768699308253104147e-02,0.000000000000000000e+00
1.056000000000000050e+00,9.236555375410259217e+01,9.203757081218101599e-02,0.000000000000000000e+00
1.072000000000000064e+00,9.236555375410259217e+01,1.504646013433388052e-01,0.000000000000000000e+00
1.088000000000000078e+00,9.236555375410259217e+01,2.065067991177522433e-01,0.000000000000000000e+00
1.104000000000000092e+00,9.236555375410259217e+01,2.407543944755742016e-01,0.000000000000000000e+00
1.120000000000000107e+00,9.236555375410259217e+01,2.796051653363588740e-01,0.000000000000000000e+00
1.135999999999999899e+00,9.236555375410259217e+01,2.407543944755742571e-01,0.000000000000000000e+00
1.151999999999999913e+00,9.236555375410259217e+01,1.504646013433387775e-01,0.000000000000000000e+00
1.167999999999999927e+00,9.183356731062141876e+01,1.085797707287449870e-01,0.000000000000000000e+00
1.183999999999999941e+00,9.025592159077054077e+01,1.279370863012903869e-01,0.000000000000000000e+00
1.199999999999999956e+00,8.819447349264112290e+01,2.796051653363588740e-01,0.000000000000000000e+00
1.215999999999999970e+00,8.819447349264112290e+01,4.849868077159112945e-01,0.000000000000000000e+00
