seconds,estimated_hz,voiced_probability,retained
0.000000000000000000e+00,nan,1.000000041792507670e-02,0.000000000000000000e+00
1.600000000000000033e-02,nan,1.000281582581109656e-02,0.000000000000000000e+00
3.200000000000000067e-02,nan,1.002672467381076835e-02,0.000000000000000000e+00
4.800000000000000100e-02,nan,1.014004604470406488e-02,0.000000000000000000e+00
6.400000000000000133e-02,nan,1.034905513337584619e-02,0.000000000000000000e+00
8.000000000000000167e-02,nan,1.082446372823416512e-02,0.000000000000000000e+00
9.600000000000000200e-02,nan,1.240312479355134591e-02,0.000000000000000000e+00
1.120000000000000023e-01,nan,2.294421912463860333e-02,0.000000000000000000e+00
1.280000000000000027e-01,nan,2.294421912463860680e-02,0.000000000000000000e+00
1.439999999999999891e-01,nan,3.010686179419501049e-02,0.000000000000000000e+00
1.600000000000000033e-01,nan,2.616802860893575888e-02,0.000000000000000000e+00
1.759999999999999898e-01,nan,1.185350539468341298e-02,0.000000000000000000e+00
1.920000000000000040e-01,nan,1.000007810228032389e-02,0.000000000000000000e+00
2.079999999999999905e-01,nan,1.041125159425187229e-10,0.000000000000000000e+00
2.240000000000000047e-01,nan,1.000001622642283580e-02,0.000000000000000000e+00
2.399999999999999911e-01,nan,1.000000521622944859e-02,0.000000000000000000e+00
2.560000000000000053e-01,nan,1.000000002170159212e-02,0.000000000000000000e+00
2.720000000000000195e-01,nan,1.000000041792507670e-02,0.000000000000000000e+00
2.879999999999999782e-01,nan,1.000000010142939634e-02,0.000000000000000000e+00
3.039999999999999925e-01,nan,1.000000010142939808e-02,0.000000000000000000e+00
3.200000000000000067e-01,nan,1.000001622642283580e-02,0.000000000000000000e+00
3.360000000000000209e-01,nan,1.000007810228032215e-02,0.000000000000000000e+00
3.519999999999999796e-01,nan,1.000032860450166157e-02,0.000000000000000000e+00
3.679999999999999938e-01,nan,1.000281582581110003e-02,0.000000000000000000e+00
3.840000000000000080e-01,nan,1.001306884623897470e-02,0.000000000000000000e+00
4.000000000000000222e-01,nan,1.002672467381077008e-02,0.000000000000000000e+00
4.159999999999999809e-01,nan,1.010197459374498861e-02,0.000000000000000000e+00
4.319999999999999951e-01,6.768203991476242720e+01,1.108579188894337486e-02,0.000000000000000000e+00
4.480000000000000093e-01,6.768203991476242720e+01,1.646758759311300890e-02,0.000000000000000000e+00
4.640000000000000235e-01,6.768203991476242720e+01,2.616802860893575194e-02,0.000000000000000000e+00
4.799999999999999822e-01,6.768203991476242720e+01,3.010686179419500702e-02,0.000000000000000000e+00
4.959999999999999964e-01,6.768203991476242720e+01,2.294421912463860333e-02,0.000000000000000000e+00
5.120000000000000107e-01,6.729222004968954707e+01,2.294421912463859986e-02,0.000000000000000000e+00
5.280000000000000249e-01,6.690464538182698107e+01,1.508558729750433987e-02,0.000000000000000000e+00
5.440000000000000391e-01,6.651930297979036766e+01,1.142233425070907429e-02,0.000000000000000000e+00
5.600000000000000533e-01,6.575526361962496935e+01,1.034905513337584272e-02,0.000000000000000000e+00
5.759999999999999565e-01,nan,1.000187304601255281e-02,0.000000000000000000e+00
5.919999999999999707e-01,nan,1.000000000399662095e-02,0.000000000000000000e+00
