seconds,estimated_hz,voiced_probability,retained
0.000000000000000000e+00,nan,1.000000000000000021e-02,0.000000000000000000e+00
1.600000000000000033e-02,nan,1.000000000000000021e-02,0.000000000000000000e+00
3.200000000000000067e-02,nan,1.000000000000000021e-02,0.000000000000000000e+00
4.800000000000000100e-02,nan,1.000000000000000021e-02,0.000000000000000000e+00
6.400000000000000133e-02,nan,1.000000000000000021e-02,0.000000000000000000e+00
8.000000000000000167e-02,nan,1.000000000399662095e-02,0.000000000000000000e+00
9.600000000000000200e-02,nan,1.000000020889274532e-02,0.000000000000000000e+00
1.120000000000000023e-01,nan,1.000000041792507843e-02,0.000000000000000000e+00
1.280000000000000027e-01,nan,1.000000020889274359e-02,0.000000000000000000e+00
1.439999999999999891e-01,nan,1.000000081401490604e-02,0.000000000000000000e+00
1.600000000000000033e-01,nan,1.000000041792507843e-02,0.000000000000000000e+00
1.759999999999999898e-01,nan,1.000000000000186851e-02,0.000000000000000000e+00
1.920000000000000040e-01,nan,1.000000000000000021e-02,0.000000000000000000e+00
2.079999999999999905e-01,nan,1.000000000000186851e-02,0.000000000000000000e+00
2.240000000000000047e-01,nan,1.000000000000692522e-02,0.000000000000000000e+00
2.399999999999999911e-01,nan,1.000020633903134053e-02,0.000000000000000000e+00
2.560000000000000053e-01,nan,1.000002785026228580e-02,0.000000000000000000e+00
2.720000000000000195e-01,nan,1.025905055977886261e-02,0.000000000000000000e+00
2.879999999999999782e-01,3.145984631970160876e+02,3.010686179419501396e-02,0.000000000000000000e+00
3.039999999999999925e-01,3.200975474696782044e+02,4.069733156888105663e-02,0.000000000000000000e+00
3.200000000000000067e-01,3.219518536981344710e+02,1.818737573491218187e-02,0.000000000000000000e+00
3.360000000000000209e-01,3.219518536981344710e+02,1.508558729750433987e-02,0.000000000000000000e+00
3.519999999999999796e-01,3.256927540422732932e+02,1.240312479355134764e-02,0.000000000000000000e+00
3.679999999999999938e-01,3.294771215546361987e+02,1.142233425070907429e-02,0.000000000000000000e+00
3.840000000000000080e-01,3.352362801942905435e+02,1.240312479355134764e-02,0.000000000000000000e+00
4.000000000000000222e-01,3.510909860037293697e+02,1.398021038018592774e-02,0.000000000000000000e+00
4.159999999999999809e-01,3.806622809458625625e+02,1.508558729750433987e-02,0.000000000000000000e+00
4.319999999999999951e-01,3.850853635945067595e+02,1.240312479355134764e-02,0.000000000000000000e+00
4.480000000000000093e-01,3.828674351061366110e+02,2.616802860893575888e-02,0.000000000000000000e+00
4.640000000000000235e-01,3.850853635945067595e+02,5.607139544589263142e-02,0.000000000000000000e+00
4.799999999999999822e-01,3.918165371833897552e+02,6.608151270920702147e-02,0.000000000000000000e+00
4.959999999999999964e-01,4.009748146060645695e+02,2.294421912463860333e-02,0.000000000000000000e+00
5.120000000000000107e-01,nan,1.000000081401490604e-02,0.000000000000000000e+00
5.280000000000000249e-01,nan,1.001876450976913954e-02,0.000000000000000000e+00
5.440000000000000391e-01,nan,1.007375176428288409e-02,0.000000000000000000e+00
5.600000000000000533e-01,nan,1.001306884623897470e-02,0.000000000000000000e+00
5.759999999999999565e-01,nan,1.491232269812454010e-07,0.000000000000000000e+00
5.919999999999999707e-01,nan,5.053062351519459754e-07,0.000000000000000000e+00
6.079999999999999849e-01,nan,4.549069242409318732e-06,0.000000000000000000e+00
6.239999999999999991e-01,3.182539212592103013e+02,1.021193038800292593e-02,0.000000000000000000e+00
6.400000000000000133e-01,3.182539212592103013e+02,1.385564108017043813e-02,0.000000000000000000e+00
6.560000000000000275e-01,3.182539212592103013e+02,4.057420177728836286e-02,0.000000000000000000e+00
6.720000000000000417e-01,3.182539212592103013e+02,2.406653296300615141e-01,0.000000000000000000e+00
6.879999999999999449e-01,3.182539212592103013e+02,6.158608209559833790e-01,0.000000000000000000e+00
7.039999999999999591e-01,3.182539212592103013e+02,6.859937464469054724e-01,0.000000000000000000e+00
7.199999999999999734e-01,3.182539212592103013e+02,6.159036236719966917e-01,0.000000000000000000e+00
7.359999999999999876e-01,3.182539212592103013e+02,3.721029139561431442e-01,0.000000000000000000e+00
7.520000000000000018e-01,3.164209135543536036e+02,1.765072673373880019e-01,0.000000000000000000e+00
7.680000000000000160e-01,3.127865093813502995e+02,5.604805413959131066e-02,0.000000000000000000e+00
7.840000000000000302e-01,3.109849916517249540e+02,1.279137422687442460e-01,0.000000000000000000e+00
8.000000000000000444e-01,3.091938499007074483e+02,1.765269477020340039e-01,0.000000000000000000e+00
8.159999999999999476e-01,3.056424556337382796e+02,7.797523762294818195e-02,0.000000000000000000e+00
8.319999999999999618e-01,3.021318526090383330e+02,1.310026255051339322e-02,0.000000000000000000e+00
8.479999999999999760e-01,2.986615722992291353e+02,2.031762855636058684e-02,0.000000000000000000e+00
8.639999999999999902e-01,2.952311515584280528e+02,2.294421912463859639e-02,0.000000000000000000e+00
8.800000000000000044e-01,2.935307452495940765e+02,1.646758759311300543e-02,0.000000000000000000e+00
8.960000000000000187e-01,2.901592570838579945e+02,1.310026255051339496e-02,0.000000000000000000e+00
9.120000000000000329e-01,2.884880627376396660e+02,4.768699308253102065e-02,0.000000000000000000e+00
9.280000000000000471e-01,2.868264937625740458e+02,1.279370863012903592e-01,0.000000000000000000e+00
9.439999999999999503e-01,2.851744947206027518e+02,1.765306086328976287e-01,0.000000000000000000e+00
9.599999999999999645e-01,2.851744947206027518e+02,1.279370863012903314e-01,0.000000000000000000e+00
9.759999999999999787e-01,2.835320104929670038e+02,6.608151270920702147e-02,0.000000000000000000e+00
9.919999999999999929e-01,2.818989862783687954e+02,1.646758759311300890e-02,0.000000000000000000e+00
