seconds,estimated_hz,voiced_probability,retained
0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000100e-02,nan,1.000001622642273866e-02,0.000000000000000000e+00
6.400000000000000133e-02,nan,1.000000000007530455e-02,0.000000000000000000e+00
8.000000000000000167e-02,nan,2.553586655807948141e-16,0.000000000000000000e+00
9.600000000000000200e-02,nan,1.000000000000186851e-02,0.000000000000000000e+00
1.120000000000000023e-01,nan,1.000000000000526856e-02,0.000000000000000000e+00
1.280000000000000027e-01,nan,1.323418286315520394e-17,0.000000000000000000e+00
1.439999999999999891e-01,nan,1.000000004772436460e-02,0.000000000000000000e+00
1.600000000000000033e-01,nan,3.000193088870129140e-14,0.000000000000000000e+00
1.759999999999999898e-01,nan,5.293673145262081574e-17,0.000000000000000000e+00
1.920000000000000040e-01,nan,1.000000000000000021e-02,0.000000000000000000e+00
2.079999999999999905e-01,nan,1.000000000000000021e-02,0.000000000000000000e+00
2.240000000000000047e-01,nan,1.000000000000000021e-02,0.000000000000000000e+00
2.399999999999999911e-01,nan,1.000080278092725476e-02,0.000000000000000000e+00
2.560000000000000053e-01,nan,1.000004700797730087e-02,0.000000000000000000e+00
2.720000000000000195e-01,nan,1.019107549696831108e-02,0.000000000000000000e+00
2.879999999999999782e-01,nan,2.616802860893574847e-02,0.000000000000000000e+00
3.039999999999999925e-01,nan,4.069733156888105663e-02,0.000000000000000000e+00
3.200000000000000067e-01,nan,1.818737573491217840e-02,0.000000000000000000e+00
3.360000000000000209e-01,nan,1.398021038018592774e-02,0.000000000000000000e+00
3.519999999999999796e-01,nan,1.240312479355134764e-02,0.000000000000000000e+00
3.679999999999999938e-01,nan,1.108579188894337313e-02,0.000000000000000000e+00
3.840000000000000080e-01,nan,1.240312479355134764e-02,0.000000000000000000e+00
4.000000000000000222e-01,nan,1.398021038018592774e-02,0.000000000000000000e+00
4.159999999999999809e-01,nan,1.508558729750433813e-02,0.000000000000000000e+00
4.319999999999999951e-01,nan,1.240312479355134764e-02,0.000000000000000000e+00
4.480000000000000093e-01,nan,2.616802860893575541e-02,0.000000000000000000e+00
4.640000000000000235e-01,nan,5.607139544589261754e-02,0.000000000000000000e+00
4.799999999999999822e-01,nan,6.608151270920700759e-02,0.000000000000000000e+00
4.959999999999999964e-01,nan,2.294421912463860333e-02,0.000000000000000000e+00
5.120000000000000107e-01,nan,1.000000081401490604e-02,0.000000000000000000e+00
5.280000000000000249e-01,nan,1.001876450976913954e-02,0.000000000000000000e+00
5.440000000000000391e-01,nan,2.672490901838510865e-12,0.000000000000000000e+00
5.600000000000000533e-01,nan,1.862191360913726676e-10,0.000000000000000000e+00
5.759999999999999565e-01,nan,1.491232269812454010e-07,0.000000000000000000e+00
5.919999999999999707e-01,nan,5.053062351519459754e-07,0.000000000000000000e+00
6.079999999999999849e-01,nan,1.003526211818486086e-02,0.000000000000000000e+00
6.239999999999999991e-01,nan,1.025795833523258579e-02,0.000000000000000000e+00
6.400000000000000133e-01,nan,1.398003016036898465e-02,0.000000000000000000e+00
6.560000000000000275e-01,nan,4.069733085792150151e-02,0.000000000000000000e+00
6.720000000000000417e-01,nan,2.407543944338904618e-01,0.000000000000000000e+00
6.879999999999999449e-01,nan,6.159498854391137757e-01,0.000000000000000000e+00
7.039999999999999591e-01,nan,4.849868076742274714e-01,0.000000000000000000e+00
7.199999999999999734e-01,nan,1.034905513337584446e-02,0.000000000000000000e+00
7.359999999999999876e-01,nan,1.025905055977886088e-02,0.000000000000000000e+00
7.520000000000000018e-01,nan,1.003776550292968806e-02,0.000000000000000000e+00
7.680000000000000160e-01,nan,1.000419105279527245e-02,0.000000000000000000e+00
7.840000000000000302e-01,nan,1.000032860450165810e-02,0.000000000000000000e+00
8.000000000000000444e-01,nan,1.000000928748662893e-02,0.000000000000000000e+00
8.159999999999999476e-01,nan,1.000000287110036981e-02,0.000000000000000000e+00
8.319999999999999618e-01,nan,1.000001622642283580e-02,0.000000000000000000e+00
8.479999999999999760e-01,nan,1.000000154655429629e-02,0.000000000000000000e+00
8.639999999999999902e-01,nan,1.000000154655429803e-02,0.000000000000000000e+00
